lot,n,tipologie
http://w3id.org/zac/87369_lot_2,25,ARGENTI | BAULI | ARMI | AVORI | MERLETTI | Emaillirte Gläser | Musik-Instrumente; Spielkarten | Gruppen; Figuren | Medaillen; Münzen | DISEGNI | MAIOLICHE | OGGETTI IN LATTA | OGGETTI IN LEGNO | OGGETTI IN RAME | OGGETTI IN ORO | OGGETTI VARI | OTTONI | OGGETTI IN FERRO | Rüstungen | Schwerter; Säbel | PIATTI | SCATOLE | VASI | SMALTI | Prunk-Hellebarden; Trabanten-Hellebarden
http://w3id.org/zac/87369_lot_3,20,BIANCHERIA | ARMI | BRONZI | ARGENTI | CAMEI | Medaillen; Münzen | Gefäße | Gruppen; Figuren | MAIOLICHE | OGGETTI IN LEGNO | OGGETTI IN FERRO | OGGETTI IN LATTA | OGGETTI IN ORO | Speere; Spieße | SCATOLE | VASI | Prunk-Hellebarden; Trabanten-Hellebarden | Rüstungen | Ronsarts; Partisanen; Spontons | Stickereien; Stoffe; Spitzen
http://w3id.org/zac/88467_lot_1,19,ACQUEFORTI | ANTICHITA' | BRONZI | CORNICI | ARGENTI | Bronze; Messing | Holz- und Marmorskulpturen; Vasen | MAIOLICHE | OGGETTI D'ARTE ORIENTALE | Kissen; Stickereien; Stoffe; Teppiche | OGGETTI IN ORO | OGGETTI IN LATTA | OTTONI | OGGETTI VARI | PIATTI | VETRI | SCOMPARTI | Porzellane; Fayencen; Steingut | VASI
http://w3id.org/zac/81913_lot_2,18,ARMI | BRONZI; FERRI; OGGETTI VARI IN METALLO | MOBILI | MAIOLICHE | PENDOLE; OROLOGI | PIATTI | OGGETTI IN LEGNO | OMBRELLI | OROLOGI | OGGETTI LITURGICI | OGGETTI VARI | Stoffe; tappeti | Stoffe; Tappeti | STOFFE; TAPPETI | STRUMENTI MUSICALI | PORCELLANE; MAIOLICHE | VASI | Porcellane; maioliche | SCATOLE | Porcellane; Maioliche | STAMPE E INCISIONI | POLTRONE
http://w3id.org/zac/87421_lot_2,18,BAULI | CAMEI | ARREDAMENTI | MAIOLICHE | MINIATURE | FOTOGRAFIE | MEDAGLIE | MOBILI | OGGETTI VARI | OGGETTI IN ORO | OROLOGI | OGGETTI IN METALLO | TESSUTI | SCATOLE | VETRI | PORCELLANE | VASI | TERRECOTTE
http://w3id.org/zac/84275_lot_I,17,BASSORILIEVI | bronzes; pendules | BRONZES; PENDULES | Bronzes; Pendules | BIANCHERIA | ARREDAMENTI | BRONZI | MEDAGLIE | MAIOLICHE | MOBILI | OGGETTI VARI | OGGETTI IN LEGNO | TORCE | SEDIE | PORCELLANE | STRUMENTI SCIENTIFICI | SCULTURE | VASI | STAMPE E INCISIONI
http://w3id.org/zac/81800_lot_2,16,BRONZI | ARGENTI | CORNICI | MONETE | GIOIELLI | MAIOLICHE | LIBRI | MARMI | MINIATURE | MOBILI | OGGETTI VARI | OGGETTI IN LEGNO | TESSUTI | VASI | REPERTI ARCHEOLOGICI | VETRI
http://w3id.org/zac/87369_lot_4,16,ARMI | Bronze; Messing | ARGENTI | MAIOLICHE | Gefäße | OGGETTI IN METALLO | OGGETTI IN FERRO | OGGETTI IN LATTA | OGGETTI IN ORO | Rüstungen | Speere; Spieße | SCULTURE | Streitkolben; Schlachtbeile; Streitäxte | Streithämmer; Reiterhammer | Pulverhörner | Stickereien; Stoffe; Spitzen
http://w3id.org/zac/88058_lot_3,16,COPPE | CORNICI | BESTECKE; WAFFEN; BUCHER; EINBANDE | MOBEL; SPIEGEL; STANDUHREN | FAYENCE; MAJOLIKA; STEINGUT; GLAS | MINIATUREN; OLBILDER; STICHE | DOSEN; TASCHENUHREN; FACHER | OGGETTI IN RAME | OGGETTI IN CERA | OGGETTI IN FERRO | OGGETTI IN ORO | OGGETTI IN LATTA | OGGETTI VARI | VASI | SILBER; EMAIL; DOSEN; TASCHENUHREN; FACHER | PIATTI
http://w3id.org/zac/88058_lot_4,16,BESTECKE; WAFFEN; BUCHER; EINBANDE | CORNICI | DOSEN; TASCHENUHREN; FACHER | MINIATUREN; OLBILDER; STICHE | MOBEL; SPIEGEL; STANDUHREN | FAYENCE; MAJOLIKA; STEINGUT; GLAS | MINIATUREN; BILDER; STICHE | LAMPADE | OGGETTI IN LATTA | OGGETTI IN RAME | OGGETTI VARI | OGGETTI IN CERA | OGGETTI IN ORO | SILBER; EMAIL; DOSEN; TASCHENUHREN; FACHER | VASI | SCATOLE
