lot,titles
http://w3id.org/zac/1003,"Livres anciens, éditions et reliures romantiques, livres illustrés contemporains ||| Collection Eugène Renevey"
http://w3id.org/zac/15268,"Catalogue de la collection de bronzes italiens des 15., 16. siècles et autres appartenant à monsieur G. et dont la vente aura lieu a Paris, Hôtel Drouot, le vendredi 1. mars 1912 ... ||| Bronzes italiens des 15. et 16. siècles."
http://w3id.org/zac/15271,"Sammlung Geh. Rat Prof. Dr. Heinrici, Leipzig. ||| Medaillen u. Plaketten der Renaissance: Sammlung Geh. Rat Prof. Dr. theol. Georg Heinrici, Leipzig : Versteigerung am 7. u. 8. Dezember 1920 unter Leitung des Obengenannten zu Frankfurt am Main / Adolph E. Cahn"
http://w3id.org/zac/15350_lot_41,Antigone Gonatas. Tete de Neptune a dr. coiffee de ||| Autre exemplaire. ——AR8. T. B.
http://w3id.org/zac/15368_lot_17,"24 Vulcan schmiedet die Waffen des Aeneas. Rechts sitzt der nackte Vulcan am Ambof. In der Mitte eine Victoria mit Schild, nach dem ein Jungling links greift. Unten links zwei Pferde. Profilierter schmaler Rand. ||| Niccolo di Forzore Spinelli? gen. Niccolo Fiorentino 1430-1514, täatig in Florenz.  - Christus am Kreuz zwischen Maria und Johannes. Die Figuren konturiert. Tabernakelartige Umrahmung. Im Giebel Halbfigur Christi mit zwei Engelskopfchen. - Bronze. Spuren von Versilberung und Vergoldung. Original. H. 114. -B. 71.  Vgl. Bange 328. --Ein ahnl. Exemplar im Mus. Arch. Venedig tragt die Bezeichnung Nicolo. M. Flor Fecit."
http://w3id.org/zac/15446,"Sammlung Carl Roettgen, Bonn : Werke der Holzplastik des 13. bis 17. Jahrhunderts, Mobiliar der Gotik und Renaissance, Kunstgewerbe [Versteigerung zu Köln unter Leitung von Peter Hanstein ... den 11., ... den 12. und den 13. Dezember 1912] / Math. Lempertz' Buchhandlung und Antiquariat, Inhaber: P. Hanstein & Söhne ||| Sammlung Carl Roettgen [gestorben] Bonn : Holzskupturen, Mobiliar und Kunstgewerbe des 13.-17. Jahrhunderts."
http://w3id.org/zac/41646_lot_I,nteressante Studie. BEZEICHNET:BOKELMANN. ||| nterieur. Frieslandische Bauern und Bauerinnen um einen weiss gedeckten Tisch
http://w3id.org/zac/41646,"Prof. Chr. L. Bokelmann's Kunstlerischer Nachlass : Handzeichnungen von Prof. Wilh. von Kaulbach. ||| Katalog des kunstlerischen Nachlasses des am 14. April 1894 zu Berlin verstorbenen Herrn Prof. Chr. L. Bokelmann Gemalde und Handzeichnungen, Nebst einem Anhang von Zeichnungen des Herrn Prof. Wilh. von Kaulbach, Munchen aus dessen directem Nachlasse : Versteigerung zu Berlin im Architektenhause Wilhelmstrasse 94-95 den 25. Mai 1895, Vormittags 10 Uhr durch J. M. Heberle (H. Lempertz' Sohne)"
http://w3id.org/zac/41652,"Collection Defer-Dumesnil. ||| Catalogue de tableaux, dessins, aquarelles, gouaches & miniatures des écoles allemande, espagnole, flamande, française, hollandaise et italienne, oeuvres remarquables de Albert Durer, Léonard de Vinci et autres de Berghem ... composant la collection Defer-Dumesnil ... : 10, 11 et 12 mai 1900 / Hotel Drouot"
http://w3id.org/zac/4389,"Vendita dei quadri ed oggetti d'arte del fu rev. R. I. Nevin, Roma. ||| Catalogo della vendita della collezione del fu Reverendo dottor Roberto I. Nevin, Rettore della Chiesa Americana di S. Paolo in Roma : maioliche, oggetti di scavo ... : vendita in Piazza Borghese, 10 nei giorni 22 ... aprile / Galleria Sangiorgi"
http://w3id.org/zac/4399,"Grande vente du musée de la noble famille Guidi de Faenza, ainsi que des collections du Marquis Albites de Florence, du Comte G. Bracci, du peintre G. Surdi, de Mr. A. Clerle de Venise, et autres ||| Catalogue de la vente du musée Guidi de Faenza ... tableaux ... dessins ... faiences ... sculptures ... émaux : [la vente aura lieu à Roma du 21 au 27 avril 1902, Place Borghese, n. 10"
http://w3id.org/zac/44434_lot_153,A ||| Italian
http://w3id.org/zac/44434_lot_16,Old French ||| Stuart Lace Sampler A
http://w3id.org/zac/44434_lot_173,A ||| Venetian
http://w3id.org/zac/44434_lot_2,10s. ||| Stuart Casket
http://w3id.org/zac/44434_lot_4,10s. ||| Daughter of Herodias bringing the Head of St. John the Baptist to her Mother in a Charger
http://w3id.org/zac/44434_lot_52,A ## OLD BEAD WORK. ||| River Scene
http://w3id.org/zac/44434_lot_6,"Abraham with Sara, Hagar and Ishmael ||| Lot and his Daughters l leaving the Burning City"
http://w3id.org/zac/44434_lot_66,A Long Purse ||| Italian
http://w3id.org/zac/44434_lot_8,18s. 6d. ||| Abraham about to Sacrifice his Son Isaac
