lot,n,esempio
http://w3id.org/zac/50364_lot_I,118,LL. NO57 No102
http://w3id.org/zac/90052_lot_I,88,n berretto e mantello nero volge l'espressiva fisionomia all'osservatore.
http://w3id.org/zac/66066_lot_I,77,"llustrated in The Holford Collection, Westonbirt, "" plate cciii"
http://w3id.org/zac/87550_lot_I,75,n schonem braunen Tone ausgefihrtes Bild mit guter Beleuchtung. Leider beschadigt.
http://w3id.org/zac/81771_lot_2,68,intagliata e dorata.
http://w3id.org/zac/88322_lot_5,66,"620 Schaberschul, Max, Die musikalische Tochter. Meisterhafte humoristische Original-Tuschzeichnung. Bezeichnet. 16x18 cm."
http://w3id.org/zac/87622_lot_2,65,neun andere Perionen.
http://w3id.org/zac/81773_lot_4,65,ed altri ornati (difettosi).
http://w3id.org/zac/81769_lot_2,62,"OLPE attica, vernice di Nola, nel corpo un ramo di lauro. Sul bordo"
http://w3id.org/zac/87381_lot_2,59,"ovales, vertieftes Medaillon mit einer wahrscheinlich aus altem Reliquienholz Kreuzpartikel) geschnitzten Pieta, umgeben von goldenen Strahlen, zwischen denen Rosetten von Rubinen und Perlen angebracht sind;oben eine bewegliche Krone von Rubinen und Perlen. Auf der Rickseite, zwischen Arabesken und emailliert, die Buchstaben J. H. S."
http://w3id.org/zac/87556_lot_I,57,nnig empfundenes Bild mit grossen Anklangen an Raphael.
http://w3id.org/zac/81773_lot_3,57,"827. ANFORA a balaustro in terracotta a due anse;decorazione gialla illuminata di bianco su fondo nero; da un lato, giovine donna seduta che tiene un monile ed uno specchio； dall'altro, Genio alato appoggiato ad una colonnetta. —Campania. —Altro m. O, 30."
http://w3id.org/zac/81773_lot_2,56,epieni;quattro piedi a zampa di leone.
http://w3id.org/zac/81773_lot_5,56,"990. ANELLO D'ORO inciso, con crisolide."
http://w3id.org/zac/87421_lot_2,54,Deckel.
http://w3id.org/zac/81800_lot_2,54,Lavoro olandese.
http://w3id.org/zac/88755_lot_2,54,"nern an Armen und Schenkeln gefaBt und ist im Begriff, ins Grab gesenkt zu werden. dung des Zahns. )"
http://w3id.org/zac/90052_lot_3,52,e divisioni.
http://w3id.org/zac/81773_lot_6,52,fiori policromi in rilievo.
http://w3id.org/zac/81767_lot_2,51,"legno intagliato e dorato, entro cassa verniciata di colore verde ed oro, in giro decorazioni di medaglioni a colori raffiguranti paesaggi, sostenuta da tre balaustri di legno intagliato. e dorato, su fondo verde, decorati davolute e fogliami. Epoca Luigi XIV."
http://w3id.org/zac/88322_lot_6,51,"63 (de Favannes, ) Le Cervolant (zwei Kinder mit Hundchen u. flieg. Drachen), nach du Mesnil. 4o. Unten franzos. Vers. Gutes Blatt, mit Rand."
http://w3id.org/zac/50791_lot_2,50,et or-en porcelaine de Sevres-fele.
http://w3id.org/zac/90052_lot_2,49,lumi in broccato rosa.
http://w3id.org/zac/81799_lot_2,48,"m. 0, 34 x 0, 30."
http://w3id.org/zac/88058_lot_4,47,"Desgleichen, kleiner. H. 30 cm, Bordlange 35 cm."
http://w3id.org/zac/88499_lot_1,47,"Platte, rund, mit bunten Blumen bemalt. Durchmesser 38, 5 cm."
